,弹幕
1,选择你的角色
2,请选择你的英雄
3,这不是台球桌只是赌场的桌子
4,兄弟会的这是？
5,看这大哥想到偷袈裟的那位
6,这其实是非常正式的决斗方式，两人手牵住，另外一个手打架，谁松手谁就输了
7,胡  志  明  小  道
8,梦开始的地方
9,迈神请来真正的黑帮来给他拍MV
10,这首歌真带劲
11,从小听到大都歌（2008年出生的我）
12,隔 山 打 牛
13,beat it就是美国俚语“避开”的意思，并不是字面意思
14,这一转头就是20年
15,这里卷帘门莫名有科幻片感觉
16,那个时候的约架到现在也不过时
17,你们不要再打了啦！（大声）
18,《地下舞者》
19,黑帮：俺也是歌迷
20,同化成功
21,假 面 歌 剧
22,大 炮 班
23,这里是真·黑帮...
24,原来这些演员是真的黑帮
25,这段solo真的绝了太好听了
26,币来～ 币来～
27,mj：不如来一起跳舞
28,后面那些站着看戏的才是黑帮，跳舞的不是
29,这些跳舞的不是黑帮，仓库里那些做背景的才是真的黑帮
30,时尚是个圈，MV里混混的衣服放到现在依然能打
31,六亲不认的步伐
32,打着打着就相爱了
33,两伙真正的美国黑帮不求酬劳只求上镜
34,我猪肉佬何尝不想成为一个舞蹈家
35,截图选老婆的那个过分了
36,拍摄时找的真黑帮
37,但是白迈克神秘感拉足，毕竟是超级超级巨星
38,蓝  牙  已  连  接
39,问：MJ的币呢？
40,跳舞打架
41,好多莱德尔！！！
42,莱德尔？（圣安地列斯）
43,请选择你的英雄
44,边唱边跳，老迈天赋太强了
45,吵毛吵大晚上不睡觉吗？
46,空气烫嘴
47,《从百草园杀到三味书屋》
48,住手快住手，你们不要再打了啦
49,这时候真的好帅，阳光小伙子！
50,只要心中有爱，就不会迷失 ——迈克尔·杰克逊
51,在一个充满仇恨的世界，我们仍然要满怀希望；在一个充满绝望的世界，我们仍然要敢于梦想 ——迈克尔.杰克逊
52,有人在菜里下毒大伙不敢吃。
53,一直被模仿从未被超越
54,正是这猴性顽劣（doge）
55,那个时代的穿搭放到现在似乎仍不过时
56,声卡甘拜下风
57,维 希 法 国 游 击 队
58,跟着一起跳的都是舞蹈演员，尤其是演两个大哥的
59,其实在后面的才是真正的黑帮
60,《你发起了帮派斗殴》
61,空耳想笑死我继承我的硬币？
62,前面这几个都是百老汇舞蹈团的老师
63,《击 剑》
64,住手！你们不要再打了
65,这样打是打不死人的啦（doge）
66,打输住院，打赢坐牢
67,出现了人传人
68,那是还得教黑道大哥们跳舞迈
69,植物大战僵尸的灵感来源哈哈哈哈
70,妈呀这个节奏太带劲了
71,这就是近藤静也与板本建的战争
72,梦开始的地方！！
73,那次也是这个场面，我唱着去拉架，快被打死了。。。
74,白鹤亮翅！
75,功夫前面斧头帮也模仿
76,法国游击队
77,小时候还是在电视上看的这个Mv
78,忍 者 神 龟
79,葛洛夫Ⅴs巴拉斯
80,拜托，beat it在这里就是“避开”的意思
81,你们不要再打啦！！！
82,哈哈 迈克标准站姿
83,"[""160"",""552"",""1-1"",""3.5"",""其实对错并不重要\nIt Doesn't Matter Who's Wrong Or Right\n"",0,0,""160"",""552"",500,0,1,""SimHei"",0]"
84,"[""160"",""552"",""1-1"",""3.5"",""其实对错并不重要\nIt Doesn't Matter Who's Wrong Or Right"",0,0,""160"",""552"",500,0,1,""SimHei"",0]"
85,"[""160"",""552"",""1-1"",""3.5"",""其实对错并不重要\nIt Doesn't Matter Who's Wrong Or Right "",0,0,""160"",""552"",500,0,1,""SimHei"",0]"
86,"[""160"",""552"",""1-1"",""3.5"",""所以都来发狠耍狂\nShowin' How Funky Strong Is Your Fighter"",0,0,""160"",""552"",500,0,1,""SimHei"",0]"
