,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,7.94000,滚动弹幕,25,0xffffff,0,ee09b89c,55147063197822464,第一天
2,15.57900,滚动弹幕,25,0xffffff,0,fa7e3f59,55070729370665984,怎么做笔记
3,8.46800,滚动弹幕,25,0xffffff,0,58a03f95,50163001701957639,请教：首段首句的辛辛那提这个地名为什么要全部大写呢？
4,3.73100,滚动弹幕,25,0xffffff,0,55dd71b8,48186817849065475,打卡第二天
5,10.99500,滚动弹幕,25,0xffffff,0,55dd71b8,48151129482592261,打卡第一天
6,21.65900,滚动弹幕,25,0xffffff,0,378de32f,47534596443602947,哪里可以记笔记啊？怎么看不到？
7,239.74700,滚动弹幕,25,0xffffff,0,8b0a7ea6,47392231964278787,打卡
8,0.00000,滚动弹幕,25,0xffffff,0,55fbc41b,47386618974699525,开始学习
9,0.00000,滚动弹幕,25,0xffffff,0,55fbc41b,47386615546904579,这个好开始学习
10,14.33400,滚动弹幕,25,0xffffff,0,cd03ce9c,46699371155685379,可以下载文本不
11,173.93700,滚动弹幕,25,0xffffff,0,9b982d40,46673987910500355,他读得好声情并茂
12,3.91300,滚动弹幕,25,0xffffff,3,53fcc325,46630263495065607,1
13,6.09600,滚动弹幕,25,0xffffff,3,b918c46b,46622470023151621,1
14,3.94300,滚动弹幕,25,0xffffff,3,70e9570b,46618744204558343,1
15,1.93600,滚动弹幕,25,0xffffff,3,49f6705d,46617205090549767,1
16,279.39800,滚动弹幕,25,0xffffff,0,2f7ec3c0,46481162488512517,打卡
17,84.09800,滚动弹幕,25,0xffffff,0,bd702185,46033017425625091,stagnate
18,22.04400,滚动弹幕,25,0xffffff,0,7294daac,45987185882562565,这个号
19,236.86200,滚动弹幕,25,0xffffff,0,72be9d33,45982042679148551,打卡
20,136.83900,滚动弹幕,25,0xffffff,0,bf08a94a,45294097572823043,第四天第四天
