,弹幕
1,想要这开始的一段手机铃声
2,重新定义才疏学浅
3,选路遇，满工的话更能朗朗上耳
4,选更熟知的路遇，满工，不好吗
5,这个手手   摄影师好评
6,婷婷的眼睛在为大家讲故事！！！
7,她的眼睛在讲故事！！！
8,跨服聊天
9,跨服聊天
10,跨服聊天
11,单恋失恋！这唱的就是现在的我啊！
12,黄梅戏是以安庆方言为唱腔
13,欢迎来中国黄梅戏之乡——安徽省安庆市
14,《才疏学浅》
15,跨服聊天
16,安庆话太好听了！！！！！
17,安庆话太好听了！
18,才疏学浅？我直接好家伙
19,啊啊鸡皮疙瘩立刻出来了，想哭
20,我嵩哥:《才疏学浅》
21,三河，在我家乡拍的唉
22,朱老师眼睛.awsl
23,战术后仰
24,才疏学浅哈哈哈哈
25,眼神在线！！！！
26,前面的细节也很走心
27,《才疏学浅》
28,《才疏学浅》
29,有没有松鼠的妹妹一起谈恋爱啊
30,副歌是我高中三年的闹钟
31,我的青春。一晃过去了十几年
32,初中的时候就特别喜欢听许嵩汪苏泷徐良的歌
33,老凡尔赛了（狗头）
34,新瓶装老酒
35,渡口边最后一面洒下了句点
36,上春晚 上春晚 上春晚
37,猴哥，六六六
38,马伯骞也挺好的
39,多了一丝别离，少了一丝不舍，缺点感情，但很好听
40,前方核能！
41,姐姐眼神好温柔
42,姐姐你的耳饰挂耳机绳上了呀，可是还是很美啊。。。啊啊啊啊啊
43,嵩哥你挑眉，犯规了了啊
44,音乐一起，回忆涌上心头
45,一生痴绝处，无梦到徽州
46,我以前老把绝句听成蛐蛐
47,牛郎织女的故事回来了，织女这次来的现代
48,年轻人不讲武德 耗子尾汁
49,《才疏学浅vae》
50,如果当时
51,哇，这是我的青春啊，许嵩喂
52,好家伙，才疏学浅
53,工大校友︿(￣︶￣)︿
54,这一开口眼泪都要掉了
55,镜中衰颜已不复，一曲忽返少年时~~
56,黄梅戏太好听了
57,三河镇，三合音
58,三河镇，三合音
59,“民族的才是世界的，唱红歌最in”
60,这段话写得好
61,这声音太有辨识度了
62,其实戏腔音可以转调升高会好点
63,一举一动一颦一笑
64,朱老师的体态太好了
65,跨越十一年的合唱啊
66,这里liao音改l音，以前应该是为了压ao，现在是为了体现古今穿越，分割强调古代和现代感
67,我为你唱最后的古谣
68,天灰了，雨坠了
69,我们俩，用文言文对话真的很搞笑
70,谁的耳边，总有绝句在萦绕
71,你和我，曾经有共同爱好
72,我知道，爱要走难阻挠
73,又为什么，现在变得冷淡了
74,为什么，你当时对我好
75,❤️音乐纯粹，爱v绝对❤️
76,❤️音乐纯粹，爱v绝对❤️
77,❤️音乐纯粹，爱v绝对❤️
78,与你若只如初见，何须感伤离别。
79,与你若只如初见，何须感伤离别。
80,与你若只如初见，何须感伤离别。
81,与你若只如初见，何须感伤离别。
82,与你若只如初见，何须感伤离别。
83,与你若只如初见，何须感伤离别。
84,与你若只如初见，何须感伤离别。
85,与你若只如初见，何须感伤离别。
86,洒下了句点（洒下了～句点）
87,渡口边最后一面（最后一面～）
88,流转我心间（流转我心间）
89,回忆怎么潜（回忆～怎么潜～）
90,红雨瓢泼泛起了（红雨瓢泼～）
91,红雨瓢泼泛起了（红雨瓢泼）
92,与你若只如初见，何须感伤离别
93,你美目如当年，流转我心间
94,我为你唱最后的古谣（变调了）
95,天灰了 雨坠了
96,这里变调了！
97,前方核能三音轨请戴好耳机
98,真是秋波荡漾，心痒痒
99,佳人才子成双对，传统现代两相绝
100,这眉目流转我心间
101,朱老师笑了
102,弹琴的小哥哥也在唱
103,回忆大门打开了！！！
104,等一个高音和声
105,传统文化复兴啊
106,姐姐唱的好好听眼里有戏啊啊
107,卧槽，鸡皮疙瘩出来了
108,如你若只如初见。何须感伤离别
109,嵩哥的歌从我小学到大学快毕业，陪了好多届的人
110,顾盼生姿！顾盼神飞！顾盼生辉！
111,右下键盘小哥真全程跟唱
112,右下键盘小哥疯狂跟唱哈哈哈
113,键盘小哥疯狂跟唱
114,前面的各聊各的xswl
115,细节：右下角弹琴的小哥哥也在默唱~~
116,不是所有人都需要热热闹闹
117,各聊各的问题出在剪辑上
118,当时也还可追忆，但我现在过的很好
119,《才疏学浅》
120,许嵩：我只剩手了吗
121,嵩式凡尔赛
122,嵩哥勇敢飞
123,战术后仰！！！
124,第一次听到这歌的时候我才13岁
125,三河古镇满美的
126,三河古镇！今年马云也去了，越来越火了啊！
127,《才疏学浅》
128,这眼神绝了啊
129,他们眼睛好亮啊
130,原来十六岁已经过去了七年
131,朱老师举手投足间都是满满的优雅啊
132,姐姐眼神好到位 眉目传情
133,前方注入灵魂
134,我为你唱最后的古谣
135,此时感觉到你的重要
136,我只想说：古代女子有如此，难怪君王弃江山
137,其实合肥这个名字有两千多年历史了，庐州是后来的只有一千多年历史
138,合肥三河古镇～杨振宁教授的故乡
139,《才疏学浅》
140,啊啊啊，朱老师眼神太好了
141,老师眼神好温柔
142,这眼神，婷婷姐眼神的神啊
143,婷婷，我说小伙子你不讲武德
144,卧槽爷的青春啊啊啊啊啊
145,婷婷老师这眉目绝了，真“流转心间”
146,这和声很好啊
147,《才疏学浅》
148,传统音乐以点到为止
149,我安庆黄梅戏排面！！！
150,如果是个男的如此深情演唱黄梅戏部分就圆满了
151,不曾遗忘的符号就是你的音符
152,这一段现场不好配合应该用的是录音棚的声音，嘴型没对上
153,朱老师眼神真的绝了 太美了
154,嵩哥完全不抢风头
155,嵩哥说话真的很有水准，
156,现在三河古镇治理得真好
157,这是真的爷青回了，十年了呜呜呜
158,这首歌十来年了，我跟着嵩哥的脚步也十来年了。
159,当时听这首时候你还在心里 现在你就在身边
160,黄梅戏是安庆的！！！！
161,这回眸一笑！awsl
162,安庆严凤英故居旁边的人
163,我靠眼睛一下就热起来了
164,大学有黄梅戏选修课
165,这个版本完全超越原版的青涩，
166,这戏腔也太好听了吧
167,一共就六个剧种，不可能面面俱到
168,曲柔柔 风娇娇 魑魅魍 拿蛋醒
169,诶呦，韦小宝，你头发长好了
170,怀宁的来了，黄梅戏的发扬地和第二故乡
171,前方三重唱，三音轨准备，请带好耳机
172,那个天天被失恋的他回来了
173,洒下了句点
174,爷青回，准备
175,来了解来了
176,许嵩也没有当您唱法青涩了
177,前面那个说喜欢许嵩和faker的，我也一样，两个都是很认真的人
178,许嵩这里太帅了，声音很好听
179,三重唱，有三个音轨
180,当时和初恋分手。听了好多遍
181,这要赶超新华社的节奏呀
182,为什么你没变我却老了
183,官方版，终于来了
184,黄梅剧院哈哈
185,阿云竟然有B站号？？惊了
186,九江市湖口县
187,话筒只是在拍mv而已 应该是在录音棚唱的
188,这个赞直接就丢出去了
189,老师表情绝了
190,共同的爱好~
191,这眉目真的流转我心间
192,初中到工作两年，我依然还爱着你
193,董永故里是我家乡噢
194,你若成风里面也有
195,安庆人，从小听着黄梅戏长大
196,我又来了，，八戒常说人间好
197,现场看过戏曲大家的演出，用麦靠得近的话能把我震耳鸣。。。
198,多久没有提笔为你写一首诗
199,渡口边最后一面洒下了句点
200,来了来了 许老师排面！！
201,冬日有雪的夜晚，天生裹藏着浪漫
202,全身都起鸡皮疙瘩了
203,当初初一，现在已经大四马上毕业了，太太太熟悉了
204,这播放量眼见的速度增长
205,这是唱功，听听小桥流水，龚琳娜唱的，离着话筒三米
206,这个眼神。。终于知道什么是眉目传情，媚眼如丝了啊
207,为什么你当时对我好
208,第一次听的是时候高二，现在研究所毕业一年了，工作了
209,你还是你，他变了
210,声音依然清脆青春
211,红雨漂泊泛起了回忆怎么潜，这句简直了
212,啊，听着歌感觉又年轻了十年
213,副歌歌词简直无敌
214,头号小弟宣誓主权
215,鸡皮疙瘩瞬间起来太好听了
216,我擦播放量追上新华社
217,传统的艺术太好了
218,这个系列最喜欢这个
219,哇哇哇，我的当年，泪目啊!感觉还在，物是人非
220,淮北煤师院的河北邢台人报道
221,《探清水河》狗头保命
222,工大校友请留步
223,代入感很强，开始泪目了
224,是从安庆出去的
225,撒下了句点
226,我一直以为唱毒药给谁听
227,渡口边最后一面
228,重新定义才疏学浅
229,我不是安徽人，对你有很深的感情
230,我也叫婷婷，四舍五入我和许嵩一起看戏了
231,泛起了，回忆怎么潜
232,爷的青春又回来了
233,各聊各的真实
234,谁还相信爱情啊，不过是逝去的曾经
235,红雨瓢泼
236,我为你唱最后的古谣
237,第一次听真的被这个副歌惊艳到了。然后一直循环
238,张辽对合肥也有独特的感情
239,此时感觉到你的重要
240,在安庆读书还教过黄梅戏
241,哇，这开口跪啊
242,用文言文对话，真的很搞笑
243,总有绝句在萦绕
244,文言文对话………
245,B站视频里回家了，好几年没回，好开心
246,马伯骞  居然是你
247,听歌空降6:40 
248,三河古镇升5A都五六年了谢谢
249,不愧是专业的
250,你和我曾经有共同爱好
251,才疏学浅许山高！！！
252,老版如果当时伴奏
253,嵩哥，永远滴神
254,嵩哥  你怎么能这么有才
255,壳，你看我真不真
256,何须感伤离别
257,小姐姐太好看了吧
258,突然认真
259,亿人血书上春晚
260,仙女姐姐
