,弹幕
1,联  合  狩  猎
2,新型诈骗方式
3,三 顾 茅 庐
4,《微分》
5,连 环 诈 骗 案 件
6,双 重 诈 骗
7,“ 连 环 诈 骗 ”
8,《从百草园到三味书屋》
9,逆 转 录
10,三 维 展 开
11,二 次 求 导
12,我试过，程序直接报错
13,《百草园》
14,三 阳 开 泰
15,等 不 到
16,连环诈骗案
17,逐渐成型
18,）=除草机
19,举        一        反        三
20,三 羊 开 泰
21,《二 重 压 缩 欺 骗》
22,连 环 诈 骗
23,完了进入了敌人的包围网了
24,举 一 反 三
25,D  N  A  转  录
26,前排提示:这是连环诈骗案 快跑
27,不  忘  初  心
28,瞒   天   过   海
29,基 因 工 程
30,基 因 工 程
31,*蓄力以触发三段攻击
32,亚 极 陀 三 位 一 体 形 态
33,三 次 求 导
34,二 次 求 导
35,尺 规 作 图
36,帽   子   戏   法
37,碟中谍中碟中谍
38,惊   天   魔   盗   团
39,三  氧  化  二  铁
40,三    羊    开    泰
41,举 一 反 三
42,小 心 飞 头 蛮
43,听 丁 识 梗
44,逆 转 录
45,帽 子 戏 法
46,碟  中  谍  中  谍
47,三 位 一 体
48,戛 然 而 止
49,一转攻势
50,一 波 三 折
51,  三  家  分  晋  
52,接 头 霸 王
53,梅 开 二 度
54,措 不 及 防
55,《从百草园到三味书屋》
56,三个愿望 一次满足
57,合 伙 诈 骗
58,前 摇 过 长 诉 讼
59,《论原子核的七裂变》
60,连 环 作 案
61,（'  匚  '）
62,孩子们！快跑
63,搁这蓄爆发呢
64,《Dark Deception》
65,《二阶导数》
66,《野兽先辈》
67,自 愿 上 当
68,竹节虫笑死我
69,您知道吗？Origin正在使用最新的下载程序！
70,百  草  园
71,三个愿望 一次满足
72,两 只 老 虎 爱 跳 舞
73,一波三折
74,前摇过场
75,('工')
76,竹节虫！好康！
77,大家可以看看up的简介！里边有这个代码的详解!
78,三    阶     导
79,始祖巨人
80,帽子戏法
81,笔锋一转
82,出 事 儿 了
83,逆 转 录
84,找瑞克·罗尔德
85,欧布三位一体
86,竹节虫
87,前   摇   过   长
88,愿者上钩
89,同  音  转  调
90,一 转 攻 势
91,暂停看代码
92,戏 命 师
93,进度条告诉我不是这么一回事儿
94,三   重   审   判
95,有 生 之 年 系 列（doge）
96,《我 和 视 频 比 命 长》
97,一    转    攻    势
98,帽 子 戏 法
99,快跑，還來得及
100,两级反转
101,暗示三连
102,高能即将上映！做好准备！
103,竹节虫警告
104,愿者上钩
105,正交分解
106,久 等 了
107,久 等 了
108, 三 国 演 义
109,看图识梗
110,要来了!!!（狂喜）
111,前摇极长
112,很好，学会了
113,我悟了 大师
114,从百草园骗到三味书屋
115,三顾茅庐
116,危
117,（'A'）
118,加边！加边！加边！（好）并查集查询！
119,《微分》
120,科普：GET TETHRATHOTH LOL （doge）
121,复  合  型
122,空  中  型
123,电信诈骗
124, ( ' A ' )
125,百草园
126,极  乐  迪  斯  科
127,('o')
128,发现商机
129,果然被骗了，是61秒
130,（ ' A ' ）
131,血压上来了
132,从百草园杀到呼伦贝尔大草原。
133,电 信 诈 骗
134,开始钓鱼鱼了
135,）=除草机
136,）=除草机
137,我 又 被 骗 了
138,心脏骤停
139,三线合一
140,泰  迦  三  重  斯  特  利  姆
141,（“ A ”）
142,要 来 了
143,要  来  了
144,三线合一
145,D N A 解 旋
146,噔  噔  咚
147,（ ’ 工 ‘ ）
148,从看懂到放弃
149,一转攻势
150,咏唱时间有点长doge 
151,听音识梗
152,卧槽！！！！！这个我真没想到
153,暗示三联
154,我 就 知 道
155,( ‘ A ‘ )
156,继续路径压缩啊！
157,好家伙，三回啊三回
158,三重审判
159,愿 者 上 钩
160,来了（狂喜）
161,愿者上钩
162,看标签知不对劲
163,骗中骗中骗了属于是
164,《三重欺骗》(ut审判战)
165,竹节虫警告
166,三分天下
167,危
168,竹节虫警告 
169,愿者上钩
170,（‘B’）
171,除草机一一（
172,（‘J’）
173,NO！
174,我在期待什么
175,合伙诈骗
176,愿者上钩
177,万恶之源
178,自愿咬钩
179,愿者上钩
180,愿 者 上 钩
181,三位一体
182,Cao（氧化钙）
183,梅花三能
184,popo猫呢？
185,危
186,假装我懂了
187,要来了（
