,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,27.62300,滚动弹幕,25,0xffffff,0,66ed9e3b,1025818827700816896,正常情况下只能每月省30元税
2,50.23500,滚动弹幕,25,0xffffff,0,204b8318,1023606108113384448,同楼下炒饭涨了一块
3,76.57900,滚动弹幕,25,0xffffff,0,e7da5476,1023406335695454208,焦虑
4,129.01200,滚动弹幕,25,0xffffff,0,f8d9fd2c,1022315762230489088,有人，才有未来
5,53.83400,滚动弹幕,25,0xffffff,0,fbba13c2,1020454284287846912,相信我，就是唯一因素
6,161.58000,滚动弹幕,25,0xffffff,0,9d936a1,1017827265788024832,很蓝的啦
7,20.71300,滚动弹幕,25,0xffffff,0,bf0e9194,1017405324358901760,每月1000发到18岁吧
8,20.05900,滚动弹幕,25,0xa0ea,0,791aeab6,1016530876793791488,很蓝的啦
9,59.89900,滚动弹幕,25,0xffffff,0,e83fa4fa,1015459587068946432,因为加班
10,172.21100,滚动弹幕,25,0xa0ea,0,2c2d2cbb,1013041300850734080,很蓝的啦
11,367.13200,滚动弹幕,25,0xfef102,0,c06a3d56,1012972024320472064,城市天际线(doge)
12,182.32700,顶端弹幕,25,0xfef102,0,9bcfed2f,1012117387996089344,游戏关服前活动特别多doge
13,164.84900,滚动弹幕,25,0xffffff,0,34136acc,1010942574183186944,失业玩两年了
14,14.72900,滚动弹幕,25,0xffffff,0,c27a3d2b,1010937243214787584,10w我考虑考虑
15,24.94900,滚动弹幕,25,0xffffff,0,51ff72fb,1010827224565479936,现在就是带着大宝6个月，又刚怀上二宝 心累 
16,433.00000,滚动弹幕,25,0xffffff,0,6f2bca2d,1010758995931227648,看完了才发现不关注是对的
17,169.58400,滚动弹幕,25,0xa0ea,0,6f5ce1f7,1010396359192564224,很蓝的啦
18,58.65500,滚动弹幕,25,0xffffff,0,8aa5659a,1009966001909203456,一个月1个W估计会有人
19,133.45800,滚动弹幕,25,0xffffff,0,d2cafc67,1009878516755536384,目前我觉得最好的方法就是放慢脚步，
20,48.90500,滚动弹幕,25,0xffffff,0,a8bd5525,1009310192791441920,注意：房价不是唯一影响生育率的因素
21,138.54900,滚动弹幕,25,0xffffff,0,1064f6eb,1009250578628374528,作为建筑设计师，我已经失业玩了一个月了
22,10.66100,滚动弹幕,25,0xffffff,0,90376cf8,1009164557849048576,不！
23,18.63000,滚动弹幕,25,0xffffff,0,28225fb7,1008856356742330368,我还以为10000
24,90.06700,滚动弹幕,25,0xffffff,0,5282a54,1008753375078128128,太卷了
25,146.01900,滚动弹幕,25,0xffffff,0,c2c6711e,1008646594976937984,失业了反而冷静下来了
26,1.65900,滚动弹幕,25,0xffffff,0,24ad6c51,1008570190469807104,保住你的头发最重要，关爱发量协会温馨提示！
27,262.77100,滚动弹幕,25,0xffffff,0,6afd81dd,1008529429602966016,什么时候才会有中式套餐
28,31.25900,滚动弹幕,25,0xffffff,0,9143971a,1008474395485699072,最恼火的反而是3岁以后
29,29.38800,滚动弹幕,25,0xffffff,0,c3dbb729,1008473928282559488,真是听君一席话如听一席话啊
30,46.93900,滚动弹幕,25,0xffffff,0,be77e6dc,1007999528407870976,已经不想结婚
31,186.48300,滚动弹幕,25,0xffffff,0,595db1b7,1007938626400893440,震痛了小半辈子了，预计还有大半辈子在阵痛中
32,52.61900,滚动弹幕,25,0xffffff,0,46c78d76,1007766360463308800,3怎么样都大于1
33,17.05600,滚动弹幕,25,0xffffff,0,783ae54b,1007341843991509504,一千块？十万块可以考虑一下
34,24.35200,滚动弹幕,25,0xffffff,0,96077002,1007239628282961408,不！
35,137.24100,滚动弹幕,25,0xffffff,0,9174173e,1007213095426335232,经典阵痛
36,145.79500,滚动弹幕,25,0xffffff,0,1a539264,1006482243725741568,2：20开始的bgm是什么
37,13.42900,滚动弹幕,25,0xffffff,0,9b351a0,1006274037720111104,不愿意，我现在都为二套房发愁，主要还是没时间和精力
38,154.42000,滚动弹幕,25,0xa0ea,0,8b4b2e09,1006264989264176640,很蓝的啦
39,55.89900,滚动弹幕,25,0x9843,0,c41b83,1006221422055404544,很焦虑，我自己都过不好。怎么有勇气找另一半
40,20.55900,滚动弹幕,25,0xffffff,0,126aae2e,1006077707366370304,一千块不够干嘛的啊
41,8.22300,滚动弹幕,25,0xffffff,0,c936319a,1006041979077153792,我全都要
42,49.18300,滚动弹幕,25,0xffffff,0,b6b87a15,1005623684494305280,不不不想生的只有100%和0%
43,144.22900,滚动弹幕,25,0xffffff,0,b25b4867,1005619468296268288,年终奖是啥，没见过，哈哈哈
44,118.58800,滚动弹幕,25,0xffffff,0,a956648,1005521140397257728,相信后人的智慧.JPG
45,99.06100,滚动弹幕,25,0xffffff,0,80961377,1005159346914475008,真实，我现在已经不好意思在同学朋友圈留言了
46,137.65900,滚动弹幕,25,0xffffff,0,36a17f8e,1005148629025273856,我年终奖直接没了
47,31.35900,滚动弹幕,25,0xffffff,0,64f921d3,1005138990992713216,主要是没对象
48,288.69300,滚动弹幕,25,0xffffff,0,c548cfba,1005107665573167104,………………完全走神了
49,117.28000,滚动弹幕,25,0xffffff,0,db327947,1005094431856021504,然鹅，基本上你一个都保不了
50,274.74500,滚动弹幕,25,0xffffff,0,cda3b1c7,1005064183441740800,中餐才是最健康的好吧
51,51.85900,滚动弹幕,25,0xffffff,0,bdcc95e9,1005050933501111296,每月零食玩具加上三餐两点心最少两千，幼儿园一个月另算
52,10.59200,滚动弹幕,25,0xffffff,0,16d384ba,1005018173822557184,不愿意，必须18岁每个月补3000
53,126.22200,顶端弹幕,25,0xe70012,0,50c31648,1004968592158107648,重新回到那个有梦想的时代不好吗？毅力和决心
54,77.33200,滚动弹幕,25,0xffffff,0,73b00310,1004948154682075136,即要仰望星空，也要脚踏实地
55,4.79900,滚动弹幕,25,0xffffff,0,2db98ebf,1004944885750660608,我保我自己
56,123.47900,滚动弹幕,25,0xffffff,0,a4b7ac84,1004913297927120896,我现在都没有还要未来干嘛
57,53.19600,滚动弹幕,25,0xffffff,0,9653ab64,1004842052623566336,很蓝的啦
58,26.57900,滚动弹幕,25,0xffffff,0,a4ca869,1004841511323566080,一胎的补助可以哈哈哈
59,32.37200,滚动弹幕,25,0xffffff,0,bb2b8c11,1004778813902628864,天堂的尽头是考公
