,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,1984.26200,滚动弹幕,25,0xffffff,0,1f2c7fe5,1022564628019956224,Dave是David的爱称（doge）
2,918.82500,滚动弹幕,25,0xffffff,0,3e2ad71b,1021539605209706496,二进制确实无法精确表示1/3
3,30.03200,滚动弹幕,25,0xffffff,0,3e2ad71b,1021528103656120320,确实，我在宿舍自习
4,438.41100,滚动弹幕,25,0xffffff,0,d9a28132,1018983738463464960,工作快五年的非科班程序员
5,619.22700,滚动弹幕,25,0xffffff,0,3aac62d1,1016120750265996800,gdb可以直接在命令行里这么输代码运行的吗？？？
6,3132.11800,滚动弹幕,25,0xffffff,0,7f17b9fa,1015172436956006400,计算机领域CMU就相当于神一般的存在
7,1680.50100,滚动弹幕,25,0xffffff,0,dc57829b,1014562071049923584,数组在内存中也是线性存储的
8,744.00500,滚动弹幕,25,0xffffff,0,e12c0a8c,1014304970800947200,相当于模
9,2790.42200,滚动弹幕,25,0xffffff,0,5276cab8,1011338281750939136,来上课的都是巨佬
10,912.35300,滚动弹幕,25,0xffffff,0,5276cab8,1011302668234636800,可以看看ieee浮点数原理
11,156.78800,滚动弹幕,25,0xffffff,0,82f1b661,1003403985081760768,这就是大佬的格局
12,807.05400,滚动弹幕,25,0xffffff,0,d76b2276,1002972744050284032,用vs code的终端试了可以
13,535.93000,滚动弹幕,25,0xffffff,0,f3e76e52,993634845377069056,先看出还是先看视频
14,3964.05300,滚动弹幕,25,0xffffff,0,bdd16534,982578185401229312,我只是个摸鱼密码
15,11.43300,滚动弹幕,25,0xffffff,0,44ebd433,979591865705873408,感谢这门课，20年五月份学习，现在已经拿到腾讯offer，寒假前来二刷
16,2098.14000,滚动弹幕,25,0xffffff,0,1b748bf2,978292620300271616,这说的应该是北大西南角外边的中关村新华书店
17,4201.44900,滚动弹幕,25,0xffffff,0,b1cb325b,978216830546075648,清华OS课程也是实现一个OS
18,681.15800,滚动弹幕,25,0xffffff,0,d4b276f0,977026285289603072,喜欢启发式教学
19,4183.66800,滚动弹幕,25,0xffffff,0,b21ef6be,966582512244129792,外国名校基操，OS课程实验是自己写一个OS
20,958.09700,滚动弹幕,25,0xffffff,0,b21ef6be,966539166664867840,千年虫问题了解一下
21,1860.76500,滚动弹幕,25,0xffffff,0,a640be46,965915984161366016,第一节课是拿来告诉你评分标准的（
22,931.78200,滚动弹幕,25,0xffffff,0,2ce40388,964433183928590336,以前看过什么课好像说的是超出位数了，进位变负截断重新算，不知道理解的对不对
23,1643.40100,滚动弹幕,25,0xffffff,0,bf5ab95c,961565205344182272,这要看计组连线以及页置换
24,3784.59600,滚动弹幕,25,0xffffff,0,c400fc3a,960808937439305728,当然是直接操作机器码
25,2323.18300,滚动弹幕,25,0xffffff,0,61d615cd,959872784160309248,震惊，我发现我们PPT就是这个的翻译
26,4352.56500,滚动弹幕,25,0xffffff,0,64625db5,959474340309237760,这内容含量快赶上我们几年学的了
27,3264.29400,滚动弹幕,25,0xffffff,0,f4530b63,957440032162701312,多复习一天嘛哈哈哈
28,3264.51400,滚动弹幕,25,0xffffff,0,15ff5139,59683437196655616,这就是大佬和普通人的区别
29,3080.35500,滚动弹幕,25,0xffffff,0,15ff5139,59683240093712896,毕竟学费在那摆着
30,4320.66000,滚动弹幕,25,0xffffff,0,a6811957,59571794577083392,大四选手表示这基础课也太难了吧。。。
31,1391.53500,滚动弹幕,25,0xffffff,0,52fed668,59556196885902848,这个数组和double是连在一起的，你数组小越界其实在访问double的内存了
32,672.31100,滚动弹幕,25,0xffffff,0,52fed668,59555710627975168,没有溢出，但是改变符号位了
33,956.96000,滚动弹幕,25,0xffffff,0,a2974e71,59529491210688512,几乎所有的老师讲到溢出时都会提起那个惨痛的教训.....
34,171.45300,顶端弹幕,25,0xfe0302,0,f9ab0415,59402290191222784,美国正版教材有时高达几百美元
35,998.70500,滚动弹幕,25,0xffffff,0,c5500d3e,59384458784377856,好巧我也是关山口的
36,2594.61400,顶端弹幕,25,0xffffff,0,6a26df54,59329015852161536,然后所有R评分的学生组成了一个组织叫做R星
37,2055.19600,滚动弹幕,25,0xffffff,0,6a26df54,59328676911437824,大一看的纸质版，大二来学这个，相见恨晚啊
38,739.86000,滚动弹幕,25,0xffffff,0,2bbc0a41,58026364170380288,这个群保持结合律
39,3784.16900,顶端弹幕,25,0xffaa02,0,2278d7a7,57870002180283392,三目运算符应该算一个if，我感觉他们想直接操作位运算
40,3476.97500,顶端弹幕,25,0xffaa02,0,2278d7a7,57869825217773056,ssh外部应该连接不上，要不然10台设备岂不是炸裂
41,1940.09200,滚动弹幕,25,0xffffff,0,aaacb6d3,57834447582245888,《碰巧》
42,230.50700,滚动弹幕,25,0xffffff,0,bba7562a,57774234369907712,硕士老板送了一本这个书
43,1475.32800,顶端弹幕,25,0xffaa02,0,2278d7a7,57663321541761536,c里面初始化数组速度是真的快，直接内存里面初始化
44,1350.20600,顶端弹幕,25,0xffaa02,0,2278d7a7,57663179062804992,这种情况比较巧合，不需要长度对其，需要长度对其内存分布更麻烦
45,385.84000,顶端弹幕,25,0xffaa02,0,2278d7a7,57662460811516416,关于我转行变成程序员这档事打卡
46,742.23600,滚动弹幕,25,0xffffff,0,202201b0,57602212945397248,没想到整数表示范围
47,2450.44900,滚动弹幕,25,0xffffff,0,a0dea850,57392103890211328,一般学校都是形式大于内容，严肃起来那还浪费更多时间和精力
48,1387.28000,滚动弹幕,25,0xffffff,0,79093c44,57339239451404800,大佬说的明明白白
49,401.19300,滚动弹幕,25,0xffffff,0,c5c005d5,57194281743603200,一起学 加油各位
50,1397.30400,滚动弹幕,25,0xffffff,0,4a28b7a,57033856906470400,导致第三个格子是d转化为byte后的前四个，直到最后一个格子还有一个统计这段代码使用了多少格子的标记，读取它会发生错误
51,1391.55200,滚动弹幕,25,0xffffff,0,f60e4764,57026193061947904,哈哈哈，解决方法：用Java
52,2827.29900,滚动弹幕,25,0xffffff,0,91595d85,56924015181876224,我们教授也说要三遍，不理解的甚至七八遍。。。
53,1359.39900,滚动弹幕,25,0xffffff,0,259ebf52,56559740250868224,double是占两个INT所以23都是它的一部分
54,2834.74500,滚动弹幕,25,0xffffff,0,1d345a51,56384920746055168,读两遍比一遍不知道效果好多少
