,弹幕
1,点个赞（大拇指
2,天空是蔚蓝色，窗外有千纸鹤
3,靠，刚加入收藏就被识破了
4,真的是来B站学习的
5,你知道我们都在等什么
6,草 莓 导 航doge
7,曾经地球上最大的海盗湾！！！
8,你们在期待什么？
9,你们为什么都在发呱啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈
10,标注是否免费就很实用
11,幻想逐渐破灭
12,我到底在期待些什么？
13,干货满满，超赞！这次一定！
14,进我的收藏夹吃灰吧（狗头）
15,这个厉害！
16,还在坚持的我，还在等
17,开头就是满满的凡尔赛味儿
18,后面的扣个“呱”暖暖场吧
19,这么懂我？（一键收藏
20,你在期待什么？
21,感谢up分享，对于有相关需求的人来说，节省了时间也提高了工作效率
22,《360》
23,skrbt
24,kw330午夜递纸
25,  每天更新。Gt320 必看
26,呱
27,可以在收藏夹吃灰了
28,上次一定
29,看了半天，都不适合我呀
30,请让我乘兴而归
31,对方归还借款
32,这个东西好啊!
33,全部都是宝藏，谢谢框框
34,白嫖党狂喜！投币了
35,在家上大学系列
36,各类图片资源
37,呱
38,吾有一友，代其观之
39,我要的是这个？我的资源呢？
40,去2345不好吗(doge)
41,pixiv
42,报道
43,收藏了我会忘了看
44,点进来发现已经收藏过了
45,Google
46,一点开，我居然收藏过了，我忏悔啊
47,好家伙，我发现我收藏了但是没看
48,看不懂，但大受震撼
49,看困了，收藏走人
50,无中生友
51,你应该去迎合大众呀
52,很好，很多用的到的地方，666
53,JDL：江科大LK：SDj
54,滴 取消收藏
55,非战斗人员请撤离
56,啊这…一定
57,收藏了半年多，翻到才看
58,非常全面实用
59,这个可以
60,呱
61,呱
62,呱
63,呱
64,要是工业设计有这么详细的就好了……
65,https://gmn222.online/
66,全球学术快报，中国知网，问老师，图书馆
67,（模板）（mu ban）
68,很有用啊
69,下次亿定
70,不见兔子不撒鹰
71,失败的彻底
72,多角度衡量你的要求为对方带来的好处有哪些，思考对方的处境，分析对方现在的迫切需求是什么
73,这个真的棒
74,呱
75,虫部落终究是我不配了
76,我替我闺蜜看看
77,哔哩哔哩
78,看到了老福特~
79,哔哩哔哩
80,呱
81,呱
82,呱
83,呱
84,x-mol，PubMed
85,牛啊
86,这次亿定
87,白嫖失败，投币了
88,大众车爿卑b4t6
89,我想要这种颜色的导航资源·····
90,到二仙桥
91,配色不对劲啊
92,呱
93,想要的不就是这个嘛，事业还是很重要的
94,这个牛！！
95,我要的不是这个
96,好像三连早了（确实）
97,这玩意我搜的时候怎么挂了？？？？
98,呱
99,报道
100,呱呱呱 、
101,下次一定
102,呱~
103,瓜
104,呱
105,瓜
106,呱
107,报道
108,pikacg
109,已投币
110,已投币
111,呱
112,bilibili
113,呱呱
114,报到
115,BAODAO
116,报道
117,报道
118,谷歌
119,吾爱
120,呱呱
121,报到
122,呱
123,呱
124,在哈哈哈哈
125,呱
126,b站，贴吧
127,疯狂自引
128,这次一定！！
129,2分31秒我拿刀了
130,不明觉厉
131,呱呱
132,夸克
133,已经凉了
134,瓜
135,厉害了
136,点进来才发现我看过
137,学习资料有吗？
138,我有一友
139,厉害
140,呱呱能
141,嗝屋啊
142,biu的否
143,我有一个朋友
144,怎样下载
145,牛马
146,？？？？？是我的问题吗？谢谢您让我感觉到了欺骗
147,呱
148,报道
149,报道
150,呱
151,呱
152,瓜
153,baodao
154,报到
155,呱
156,呱
157,报道
158,报到
159,报道
160,111
