,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,76.00000,滚动弹幕,25,0xffffff,0,c39747d5,46523374146420743,考的其实不是多少只鸟，而是2个点：知识积累水平和逻辑分析能力。
2,76.00000,滚动弹幕,25,0xffffff,0,f3e95f79,46239549928505351,她憋不住了，她笑了。
3,3.85400,滚动弹幕,25,0xffffff,0,e29e1dfc,46239542298542083,数学逻辑是严谨的，这些主观假设太多的只能忽悠一下
4,11.49900,滚动弹幕,25,0xffffff,0,544591c2,46228149299576839,标准答案：老子面前就有一只
5,0.88900,滚动弹幕,25,0xe70012,0,567f37ec,46227317179023367,一开始就错了，城市里很多鸟窝不在树上。
6,8.60800,顶端弹幕,25,0xe70012,0,7991abe0,46032989774151685,我就说一点，据科学研究表明，大部分鸟并不住鸟窝，鸟窝知识孵蛋用
7,49.11200,滚动弹幕,25,0xffffff,0,cac922be,45987579245887493,不许来串门的鸟
8,40.42300,滚动弹幕,25,0xffffff,0,cac922be,45987574686154757,不许来串门的鸟
9,27.27400,滚动弹幕,25,0xffffff,0,46fdb39b,45890314396237829,从头到尾都是估算
10,5.05900,滚动弹幕,25,0xe70012,0,ed6ff73f,45880887311073287,两只，一只会飞的，一只不会飞的
11,60.46300,滚动弹幕,25,0xffffff,0,a1342b7,45864468754202631,一切设定都是按自己的逻辑来的，果然很麦肯锡。
12,32.31900,滚动弹幕,25,0xffffff,0,e4ce4f8e,45812797076930563,管理咨询的奥义：一本正经胡说八道的能力
13,65.59100,滚动弹幕,25,0xffffff,0,143f17d3,45650615305502727,讲真 上班之后老板只看结果
14,72.50000,滚动弹幕,25,0xffffff,0,2a4f8438,45586400503922695,最后还是有关系的被录取
15,75.66700,滚动弹幕,25,0xffffff,0,4fff09ee,45545766524026885,这道题的本质不是正确与否，而是解决的思考路线是否表达得清晰
16,37.44600,滚动弹幕,25,0xffffff,0,868fbc43,45532659053494277,实际是考察你忽悠的能力
