,弹幕
1,如此伟大的灯塔！容不下一位迈克尔杰克逊
2,总结一下：天下大同
3,布鲁诺·费尔南德斯（幻视）
4,现在的灯塔国不再有这样的艺术境界和高度了，充满了杀戮
5,调音师：那天是我三岁儿子负责调音的。
6,地球球歌我不知道是用什么语言唱的，但肯定不是单单用英语唱的！
7,每个人，都似乎散发着光芒
8,指挥：指挥了一个团
9,调音师:摸鱼真好
10,这一屋子的有120多个格莱美和一个诺贝尔
11,隔着屏幕都能闻到一股味
12,好家伙，一句都不在调上
13,何年何月还能再出现如此神仙阵容的一刻
14,灯塔国建国以来只有20年没打仗，现在看来这首歌虽然纯粹，其实也是多么讽刺和伪善
15,偶像行为不要上升到国家
16,三界之外的男人
17,调音师：咖啡外卖怎么还没到？
18,众 神 之 王
19,全屋顶级艺术家
20,青年意气风发的迈神
21,意气风发的青年迈神
22,调音师：你们这样显得我很呆
23,又是调音师白领工资的一天doge
24,每份善意，每个人每个国都是灯塔！
25,这个世界需要回归到最纯净的本质
26,人类永远需要科学和音乐！
27,人类永远需要科学和音乐！
28,人 类 群 星 闪 耀 时
29,看到这个指挥骄傲的笑了吗？
30,不愧是诺贝尔奖获得者，连调音师都帮助到了
31,一开口就老摇滚了哈哈哈
32,感受到了灯塔的光
33,神，见到您很高兴
34,众神与他们的王
35,在次起立为这位大佬致敬
36,调音师：我为啥要来这儿？都没事做的，可愁死我了
37,金馆长！你怎么跑去唱歌了！
38,调音师：来活了
39,灯塔最明亮的时候，是因为苏联来过
40,西班牙佬：哈哈，简单让杨基佬背个锅
41,！！！！迈迈的声音太空灵了！！！自带回音！！爱死他了
42,调音师:终于来大活了
43,神：迈克尔.杰克逊
44,妈耶！神仙打架的时期哦
45,在一个充满仇恨的世界，我们仍然要满怀希望；在一个充满绝望的世界，我们仍然要敢于梦想 ——迈克尔.杰克逊
46,《人类群星闪耀时》
47,国内只知道一首《手牵手》
48,一屋子神！
49,老大哥一倒，美国彻底放飞自我
50,指挥、调音：这TM我们干啥
51,这才是音乐真正的魅力而不是去唱情啊爱的
52,全明星和声阵容可怕
53,他是用着灵魂在歌唱
54,一群名人堂大神打架
55,他们的笑容都是发自内心的
56,这首歌真是每次听都想哭啊
57,调音师：到家了，到家了
58,流行乐之王，世界舞王，慈善之王
59,和声，人家用的合唱
60,调音师:我来上班了
61,这才是人类该有的样子↓
62,迈：好好一首慈善歌瞧给你们喊的
63,他们才是真正意义上的明星！！
64,世界上只有一个迈克尔杰克逊 再也不会有人能组织起这么一票人了
65,绝唱了，从此不再有
66,转的真牛逼。无缝衔接。
67,人类群星闪耀时
68,黑白这段很有意义
69,我知道变得是组成美国的人
70,艺术真实的力量
71,世界和平.
72,国内后来效仿做了《明天会更好》，就是轻轻敲醒沉睡的心灵
73,全世界的无产者们联合起来
74,压力给到了指挥这边
75,音乐史上最伟大的一次合唱
76,美国建国200多年打老板一直都在打仗
77,奇怪，为什么我一肚子话到这时却一个合适的字都找不出来
78,欢迎收看《失业の调音师》
79,世间再没有另一个迈克尔杰克逊了
80,上天给过美国一个机会，就是迈克尔杰克逊
81,释放自己！！！
82,毛利小五郎
83,祖师爷追着喂饭
84,他的声音真的干净
85,全全全全宇宙最善良的人
86,这两人声音配在一起
87,给bob一个特供调音师
88,太阳远看光芒万丈，细看却全是黑子
89,国际著名男高音迈克尔杰克逊
90,给世界一个和平的机会
91,这一屋子人，老厉害了
92,听这首歌能让人思想得到升华，心灵得到洗涤
93,当年的灯塔国高光时刻
94,每次听都是一身鸡皮疙瘩，很震撼
95,都是万里挑一的金嗓子
96,这个点居然还有二十个人和我一起看mv
97,当年灯塔瓦数最大的时候
98,华语是：民git那会更好！
99,诸神黄昏！
100,是的冷战结束，世界复苏，人们满怀希望，努力创造未来
101,本是同根生，相煎何太急
102,全世界的劳动者站在一起建设家园！
103,看他们笑得多么真诚开心啊。
104,不管他们过去将来如何，此时此刻是人类的光
105,调音师骂骂咧咧离开了直播间
106,连指挥都很牛
107,莱昂内尔.梅西
108,当时的美国还是真正的文明灯塔
109,除了迈克尔还有谁能弄出这阵仗
110,被邀请就是一种肯定啊
111,真·大佬儿来了
112,我们迈神在我心里面你永远都无法超越，你是我心底提烙印，你知道吗
113,这是教我如何做人的人
114,我们英语老师让我们唱过
115,迈克尔杰克逊永远的神
116,USA: We were the world
117,羊驼说的也挺对，这个也很突出啊
118,虽然美国从来不是灯塔，但那个时候至少装的像灯塔，现在连装都懒得装了。
119,前边的摇滚源自秦腔长在我的笑点上，笑死我了
120,国际主义浓度过高（歌曲本身）
121,世界需要你迈克 你在
122,全体起立。泪目
123,这个女声简直惊艳
124,那时的美国也许真的可以称作灯塔
125,20世纪是美国的世纪，21世纪我不知道是谁的，但肯定不是美国的！
126,现实中的神话，迈克尔杰克逊
127,这真是人类能做到的吗
128,一屋子的格莱美
129,初中音乐教材的典范啊
130,当年灯塔国也在发动战争，只能说是当时的Michael
131,人类群星闪耀时
132,乡村音乐大佬
133,感觉老爷子自己发挥唱的好好听
134,一屋子神仙
135,灯塔国最后的荣光！
136,最后的灯塔之国！
137,被震撼到了。
138,2022北京冬奥会，多么希望这首歌响彻鸟巢！
139,终于来了最好听的破锣嗓子迪伦
140,注意这是里奇的手在指挥
141,昆西也是一位非常值得敬佩的人物，相信很多人都听过他从黑帮流氓到一位音乐教父的成长过程。
142,霉国这歌手阵容太牛逼了
143,人类怀念！历史铭记！
144,当年的美国真的是自由的灯塔
145,这地球上再也没有这么经典的场面了！！！！！！！！！！！！！！！
146,这个时候的美国真的是灯塔
147,想到一本书 人类群星闪耀时
148,这歌听多少次都忍不住想泪目
149,原来我们可以抛弃仇恨，心心相通
150,天下一家！让世界充满爱！
151,人类群星闪耀之时
152,那时候i真的是大师的年代
153,前方再次高能
154,愤怒的小鸟
155,没拿十座格莱美奖杯都不好进这屋
156,美国封神的时代，因为有红色苏联
157,那时候的美国才有点灯塔的样子
158,我现在车上还有雷查尔斯的歌~
159,调音师愤怒离场
160,众 神 归 位
161,84年的事情，感慨！
162,只有他，才创意般地召集了这么多歌手
163,针尖对麦芒
164,全是殿堂级王者
165,好听 和音真的好好听啊
166,我靠这个声音爱了爱了
167,真.灵魂之王
168,随便一个人，到现在都是大神级别的存在
169,迈克尔杰克逊组织这个合唱的时候才27岁   真可怕
170,为什么我想到了一只海豹…
171,卧槽，老乡村了~~~
172,这首真是神仙创造的歌
173,黑鹰坠落之后再无灯塔国
174,美国这个国家从来都不是灯塔 人性的光辉是每个人与生俱来的
175,注入灵魂注入灵魂！
176,迈克尔杰克逊是人民的明星，是敢于揭露，乐于拯救的明星，只有他，是真对得起明星二字
177,世界人民大团结万岁！
178,救命太喜欢这版本了
179,戴安娜罗斯
180,政客与公民是截然不同的
181,神看到今天的世界也会落泪
182,这一屋子里一座格莱美确实没感觉
183,那场群星荟萃的living演唱会的视频在哪啊，超想看
184,真的会热泪盈眶啊！！
185,音色特别个性，流行音乐声音必须有特色
186,就是苏修没倒的时候，鹰酱才是灯塔，后来的美国就是个霸主
187,这个时代的美国还是世界的灯塔～
