,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,79.25900,滚动弹幕,25,0x683a7b,0,23345e85,1025435528234949632,走之底杀疯了
2,412.41100,顶端弹幕,25,0xffffff,0,565c8639,1021260598472007168,这不是反人类的Mathematica吗
3,342.88400,顶端弹幕,25,0xfef102,0,8e9fee6f,986926270974525440,《首》
4,82.08900,顶端弹幕,25,0xfe0302,0,6da6ec22,983969086761910272,二维码增加马赛克（确信）
5,5.68100,顶端弹幕,25,0xe70012,0,1e30357b,982043591281131520,114514个（bushi
6,194.59400,顶端弹幕,25,0xfef102,0,ab645ae6,979875066070417408,提手旁
7,40.83800,顶端弹幕,25,0xfef102,0,ab645ae6,979873467819417600,一个黑块
8,415.29400,顶端弹幕,25,0xe70012,0,4e31b930,977597180566511616,结果：一堆叠在一起的“？”
9,62.24100,顶端弹幕,25,0xe2027f,0,929e3283,971498772234338304,哇，基岩！
10,121.46100,滚动弹幕,25,0xffffff,0,8e9da8c7,966017356450201600,众所周知，一边大一边小就是黄金比例
11,78.15800,滚动弹幕,25,0xffffff,0,96f6368,961728909253419008,仓颉：纯粹吃饱了撑得
12,49.32000,顶端弹幕,25,0xffff00,0,5d66bc54,960829498177970176,怎么，最后一个字是畔
13,0.01900,顶端弹幕,25,0xffffff,0,50d7e4f9,959700307681665024,你会看到叠在一起的汉字
14,44.23900,滚动弹幕,25,0xffffff,0,1d09ef8d,959480881233338368,变成一个真正的方块
15,338.49700,顶端弹幕,25,0xe70012,0,a4623cda,958772280654299136,西夏文：你礼貌吗？
16,67.83100,顶端弹幕,25,0xfef102,0,eb17d016,956478030707089408,《绯》
17,386.88200,滚动弹幕,25,0xffffff,0,951524f3,955907278553325568,刚才谁有看见旁边繁体字的挂(掛)
18,388.88700,滚动弹幕,25,0xffffff,0,29218ad,59501104828628992,基于图像位置分布的汉字字体设计方法研究
19,332.49400,顶端弹幕,25,0xffffff,0,134588bb,59271512685834240,日本除掉汉字的部分就只剩鬼画符了
20,139.85700,顶端弹幕,25,0xe70012,0,88429c50,59018495256307200,我看见了明明 是迪！！
21,7.69900,底端弹幕,25,0xe70012,0,fdc7596a,58915003313722368,@巴迪老师 
22,27.31900,顶端弹幕,25,0xe70012,0,8e93d75b,58814405224721408,2³²
23,365.62500,滚动弹幕,25,0xffffff,0,600903ff,58242318746700800,韩国：汉字在申请了思密达
